,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
1279,2428736,107166249,AR,2019-04-18,2021-09-29 02:44:07,Future Bright Mining Holdings Limited,SUCCESS,0.17905331580577474,18.263438212189023,3325,1942,1383,249,42999
1281,2431205,107404108,AR,2019-04-23,2021-09-29 02:35:39,"Huaneng Power International, Inc.",WARNING,0.5861670626293957,89.09739351966815,6524,4607,1917,310,95519
1283,2432133,108008666,AR,2019-04-30,2021-09-29 02:44:37,3SBio Inc.,WARNING,0.41941104964565484,46.97403756031334,6381,4167,2214,269,74736
1284,2433341,106061410,AR,2019-03-29,2021-09-29 02:35:26,Zioncom Holdings Limited,SUCCESS,0.2340189544171635,20.359649034293223,3499,2119,1380,201,43043
1285,2433358,106064804,AR,2019-03-30,2021-09-29 09:20:35,"Huawei Investment & Holding Co., Ltd.",SUCCESS,1.5437604937535017,112.69451604400562,6896,5295,1601,238,62935
1286,2438974,107911544,AR,2019-04-28,2021-09-29 02:38:24,Shengli Oil & Gas Pipe Holdings Limited,SUCCESS,0.44010938897276924,26.406563338366155,3452,2139,1313,226,42565
1287,2439801,106989301,AR,2019-04-16,2021-09-29 02:44:55,PetroChina Company Limited,SUCCESS,0.366504695705836,43.24755409328865,7001,4271,2730,215,87591
1289,2442626,106360409,AR,2019-04-03,2021-09-29 02:38:47,Huayu Expressway Group Limited,SUCCESS,0.47696824636439894,35.77261847732992,2285,1408,877,179,28253
1290,2442847,106986162,AR,2019-04-16,2021-09-29 02:44:58,United Strength Power Holdings Limited,SUCCESS,0.45107833218215915,31.12440492056898,3804,2394,1410,195,43457
1291,2448085,107724753,AR,2019-04-26,2021-09-29 02:44:58,SPT Energy Group Inc.,SUCCESS,0.2890450045955342,28.61545545495789,3633,2250,1383,243,41826
1292,2452138,135732182,AR,2020-04-21,2021-09-29 02:39:06,China ZhongDi Dairy Holdings Company Limited,SUCCESS,0.21691284644370334,18.654504794158488,3639,2164,1475,221,44041
1293,2454180,135964917,AR,2020-04-23,2021-09-29 02:38:24,"Xiamen International Port Co., Ltd",SUCCESS,0.8327123557231056,70.78055023646398,4313,2971,1342,229,61817
1296,2454527,135933878,AR,2020-04-23,2021-09-29 02:39:04,Confidence Intelligence Holdings Limited,WARNING,0.23654437743357598,25.783337140259782,3235,1982,1253,374,39935
1297,2454803,135964386,AR,2020-04-23,2021-09-29 02:39:04,Confidence Intelligence Holdings Limited,WARNING,0.23654437743357598,25.783337140259782,3235,1982,1253,374,39935
1298,2456587,136155176,AR,2020-04-25,2021-09-29 02:37:18,E-House (China) Enterprise Holdings Limited,WARNING,2.09745635272788,73.4109723454758,6039,4084,1955,110,74084
1300,2456686,136209796,AR,2020-04-26,2021-09-29 02:38:24,Shengli Oil & Gas Pipe Holdings Limited,SUCCESS,0.45232748967995595,25.330339422077532,3522,2129,1393,219,42641
1301,2459571,136207890,AR,2020-04-27,2021-09-29 02:37:18,E-House (China) Enterprise Holdings Limited,WARNING,2.0925663965798247,73.23982388029387,6039,4084,1955,114,74117
1302,2459625,136210211,AR,2020-04-27,2021-09-29 02:44:58,SPT Energy Group Inc.,SUCCESS,0.29195188929593135,28.903237040297203,3645,2298,1347,226,41333
1303,2460589,136323353,AR,2020-04-28,2021-09-29 02:36:51,Ye Xing Group Holdings Limited,SUCCESS,0.5016778122449339,31.60570217143084,3396,2226,1170,201,42415
1304,2460624,136323485,AR,2020-04-28,2021-09-29 02:45:07,Wuxi Sunlit Science and Technology Company Limited,WARNING,0.2351099464024741,20.68967528341772,3407,1997,1410,242,39029
1305,2462705,136301798,AR,2020-04-28,2021-09-29 02:36:51,Ye Xing Group Holdings Limited,SUCCESS,0.5016778122449339,31.60570217143084,3396,2226,1170,201,42415
1306,2463750,136439895,AR,2020-04-29,2021-09-29 02:43:59,"Jujiang Construction Group Co., Ltd.",WARNING,0.4154438850828306,36.97450577237192,3607,2311,1296,207,44438
1307,2472401,134506115,AR,2020-04-01,2021-09-29 02:38:45,Agile Group Holdings Limited,WARNING,0.6373027576562172,60.54376197734064,4544,3095,1449,275,60716
1311,2475694,134841634,AR,2020-04-08,2021-09-29 02:43:31,Tenfu (Cayman) Holdings Company Limited,SUCCESS,0.34332679099303554,33.64602551731748,3177,2130,1047,221,43125
1312,2476265,134911029,AR,2020-04-09,2021-09-29 02:37:32,Changmao Biochemical Engineering Company Limited,WARNING,0.3075530713107309,27.37222334665505,2874,1845,1029,166,33503
1314,2480878,135623596,AR,2020-04-20,2021-09-29 02:35:37,"Huaneng Power International, Inc.",WARNING,0.5287957220942782,81.96333692461312,6362,4446,1916,325,90495
1316,2481501,137161403,AR,2020-05-12,2021-09-29 02:44:10,"Zhejiang Chang'an Renheng Technology Co., Ltd.",SUCCESS,0.16480365555425208,14.667525344328435,2289,1388,901,212,32878
1317,2481717,135402625,AR,2020-04-17,2021-09-29 02:44:58,United Strength Power Holdings Limited,SUCCESS,0.6606294983591479,42.28028789498546,4098,2639,1459,176,48379
1318,2482000,135294299,AR,2020-04-16,2021-09-29 02:38:46,Huayu Expressway Group Limited,SUCCESS,0.4721961237103899,33.05372865972729,2418,1462,956,181,31056
1319,2491769,137301346,AR,2020-05-14,2021-09-29 02:44:35,China PengFei Group Limited,SUCCESS,0.3328588529256806,33.951602998419425,3338,2147,1191,230,44849
1320,2493098,137374566,AR,2020-05-14,2021-09-29 02:44:07,Future Bright Mining Holdings Limited,SUCCESS,0.19671854161231458,20.065291244456088,3321,1928,1393,234,40983
1322,2493674,137369424,AR,2020-05-15,2021-09-29 02:34:03,Xinming China Holdings Limited,SUCCESS,0.21529578809910493,24.97431141949617,4494,2706,1788,182,55146
1323,2471969,134465541,AR,2020-04-01,2021-09-30 03:58:22,Bluestar Adisseo Company,WARNING,0.8681833965140292,30.386418877991023,5120,3279,1841,163,55065
1324,2441496,106897562,AR,2019-04-15,2021-09-30 05:13:16,Zhong An Group Limited,WARNING,0.6060594436671689,36.969626063697305,4736,3020,1716,176,62537
1326,2525423,107835003,AR,2019-03-20,2021-09-29 02:44:51,PetroChina Company Limited,WARNING,0.8192180868808152,42.59934051780239,7068,4303,2765,192,87213
1328,2527716,105635706,AR,2019-03-21,2021-09-29 02:37:32,Changmao Biochemical Engineering Company Limited,WARNING,0.30148539606079405,26.832200249410672,2998,1899,1099,166,34225
1330,2530936,105791262,AR,2019-03-24,2021-09-29 02:33:51,CCID Consulting Company Limited,SUCCESS,0.3840740453702088,39.1755526277613,3408,2323,1085,259,41387
1332,2536625,106898685,AR,2019-07-18,2021-09-29 02:43:45,Daphne International Holdings Limited,WARNING,0.23059314600653416,23.059314600653416,3284,1956,1328,357,39400
1334,2431639,107396922,AR,2019-04-23,2021-10-01 08:53:32,Shuanghua Holdings Limited,SUCCESS,0.1906992401766121,16.018736174835418,3388,1929,1459,214,39152
1335,2600852,87790877,AR,2018-08-30,2021-09-29 09:20:38,"Huawei Investment & Holding Co., Ltd.",WARNING,5.743836205699857,68.92603446839829,4003,3041,962,109,36262
1336,2481460,135623447,AR,2020-04-20,2021-10-01 14:28:54,Ximei Resources Holding Limited,SUCCESS,0.17512670235066494,16.9872901280145,2928,1835,1093,225,38790
1337,2604132,87790869,AR,2018-08-30,2021-09-29 09:20:35,"Huawei Investment & Holding Co., Ltd.",WARNING,4.969858932317871,69.5780250524502,4326,3174,1152,102,40756
1338,2698297,118075429,AR,2019-06-20,2021-09-30 05:13:18,"Qidian International Co., Ltd.",SUCCESS,0.34241201638300534,20.54472098298032,4027,2295,1732,206,50813
1340,2752538,73856238,AR,2018-03-29,2021-10-01 14:28:53,Jiangsu NandaSoft Technology Company Limited,SUCCESS,0.2492271423028148,23.17812423416178,2818,1719,1099,171,35399
1342,2771180,76455914,AR,2018-04-04,2021-09-29 02:38:47,Huayu Expressway Group Limited,SUCCESS,0.45821210166606785,28.867362404962275,1822,1121,701,157,23256
1343,2775986,136209478,AR,2019-12-31,2021-09-29 02:37:07,China New City Commercial Development Limited,SUCCESS,0.4642645935849366,36.67690289320999,4174,2647,1527,238,51081
1344,2779260,76963865,AR,2018-04-16,2021-09-29 02:43:46,Daphne International Holdings Limited,WARNING,0.22464528960719493,22.2398836711123,2668,1632,1036,359,34232
1346,2779620,76962907,AR,2018-04-16,2021-09-29 02:44:55,PetroChina Company Limited,SUCCESS,0.3360641242420224,42.68014377873685,6424,4041,2383,216,83127
1348,2780288,76964027,AR,2018-04-16,2021-10-01 08:53:33,Shuanghua Holdings Limited,SUCCESS,0.11783884335524289,9.78062399848516,2717,1573,1144,208,32132
1349,2780320,76963887,AR,2018-04-16,2021-09-30 04:30:16,Carpenter Tan Holdings Limited,SUCCESS,0.7130947889704405,25.67141240293586,2974,1907,1067,118,35590
1350,2780415,76959865,AR,2018-04-16,2021-09-29 02:35:40,"Huaneng Power International, Inc.",WARNING,1.4767359566653344,69.40658996327072,5825,4194,1631,123,81957
1358,2784809,77210388,AR,2018-04-20,2021-09-29 02:45:08,Wuxi Sunlit Science and Technology Company Limited,SUCCESS,0.15350440285363479,18.420528342436175,3172,1916,1256,265,36555
