,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent_x,sum_sent_x,hit_count_x,positive_hits_x,negative_hits_x,section_count_x,word_count_x,avg_sent_y,sum_sent_y,hit_count_y,positive_hits_y,negative_hits_y,section_count_y,word_count_y
751,5304083,3267039,AR,2021-07-05,2021-07-05 01:29:23,Zijin Mining Group Company Limited,WARNING,0.6530546179752612,3.9183277078515673,520,390,130,53,8081,,,,,,,
753,5304122,3267814,AR,2021-07-05,2021-07-06 04:56:17,Aluminum Corporation of China Limited,WARNING,0.3334896153890933,9.337709230894612,903,656,247,75,12066,,,,,,,
755,5304125,3268199,AR,2021-07-05,2021-07-06 04:56:12,"Puda Coal, Inc.",WARNING,0.4345083904398297,9.124676199236424,2310,1319,991,145,31104,,,,,,,
758,5304126,3268200,AR,2021-07-05,2021-07-05 01:32:40,"Puda Coal, Inc.",WARNING,0.18290103980827968,7.681843671947747,2788,1575,1213,199,38242,,,,,,,
761,5310771,155172998,AR,2021-03-30,2021-07-05 18:44:40,Gudou Holdings Limited,WARNING,0.30191128337570877,23.549080103305283,4047,2390,1657,688,54730,,,,,,,
762,5316175,161764838,AR,2020-12-31,2021-07-07 02:49:54,"Thunder Software Technology Co.,Ltd.",SUCCESS,0.42958985515605197,10.310156523745247,601,520,81,32,5447,,,,,,,
763,5316800,161782010,AR,2021-07-07,2021-07-07 07:29:11,China Putian Food Holding Limited,WARNING,0.36948796132240425,25.12518136992349,3723,2301,1422,211,46755,,,,,,,
765,5326418,155774401,AR,2021-04-09,2021-07-10 07:24:20,Datang Group Holdings Limited,WARNING,0.7374107854501347,22.122323563504043,3633,2243,1390,98,49525,,,,,,,
766,5332292,156059379,AR,2021-04-15,2021-07-13 00:58:59,China Life Insurance Company Limited,WARNING,0.7565797425581672,65.82243760256054,6984,4642,2342,317,88769,,,,,,,
768,5335004,156141570,AR,2021-04-15,2021-07-13 21:55:23,China Wan Tong Yuan (Holdings) Limited,SUCCESS,0.38155330939717913,28.616498204788435,2784,1895,889,160,33834,,,,,,,
769,5338763,156558540,AR,2021-04-23,2021-07-14 15:13:29,China Ludao Technology Company Limited,SUCCESS,1.3462972649955043,22.88705350492357,3906,2426,1480,148,45479,,,,,,,
770,5339259,156267324,AR,2021-04-19,2021-07-14 20:53:40,Honghua Group Limited,SUCCESS,0.25473995732475196,21.652896372603916,4781,2844,1937,272,54103,,,,,,,
771,5339394,156277308,AR,2021-04-19,2021-07-14 22:16:38,Genscript Biotech Corporation,WARNING,0.6486839375258415,82.38286006578187,6869,4694,2175,239,77025,,,,,,,
779,5340726,163094445,AR,2021-07-15,2021-07-15 08:32:11,Precision Tsugami (China) Corporation Limited,SUCCESS,0.23861217923450298,23.861217923450297,4076,2513,1563,259,47511,,,,,,,
780,5347044,156559796,AR,2021-04-23,2021-07-17 06:26:03,West China Cement Limited,SUCCESS,0.20496674754736804,23.366209220399956,4059,2523,1536,244,51593,,,,,,,
782,5347149,156560447,AR,2021-04-22,2021-07-17 06:54:33,Yestar Healthcare Holdings Company Limited,WARNING,0.5665035830811239,32.29070423562406,4564,2880,1684,204,54046,,,,,,,
784,5370421,156093045,AR,2020-12-31,2021-07-23 07:00:54,"LB Group Co., Ltd.",SUCCESS,0.1200374880869478,36.251321402258235,7798,4964,2834,400,94417,,,,,,,
785,5370802,163486463,AR,2021-07-23,2021-07-23 08:16:25,Yidu Tech Inc.,WARNING,1.7121115586659825,53.07545831864546,5778,3944,1834,172,69165,,,,,,,
786,5372477,163319009,AR,2021-07-20,2021-07-23 14:41:21,"Xinjiang La Chapelle Fashion Co., Ltd.",WARNING,0.054140802029639425,0.37898561420747595,441,226,215,17,7266,,,,,,,
787,5374695,163537775,AR,2021-04-28,2021-07-24 12:36:26,Yusei Holdings Limited,SUCCESS,0.3543072785856795,20.195514879383733,2382,1467,915,180,30011,,,,,,,
788,2427831,107064013,AR,2019-04-17,2021-07-26 06:48:09,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",WARNING,0.5689433622701395,67.7042601101466,6155,4270,1885,312,79695,,,,,,,
790,2427956,105985160,AR,2019-03-28,2021-07-26 06:48:10,Nanjing Panda Electronics Company Limited,WARNING,0.14806737764824116,4.145886574150753,975,693,282,58,12818,,,,,,,
792,2428247,107168218,AR,2019-04-18,2021-07-26 06:48:33,"China International Marine Containers (Group) Co., Ltd.",SUCCESS,1.6670172305718016,141.69646459860314,10722,7153,3569,251,137463,,,,,,,
796,2428624,107168676,AR,2019-04-18,2021-07-26 06:47:19,"Dynagreen Environmental Protection Group Co., Ltd.",WARNING,0.7217778637596834,49.80267259941816,4829,3021,1808,330,63643,,,,,,,
797,2430248,105961684,AR,2019-03-28,2021-07-26 06:49:19,Ziyuanyuan Holdings Group Limited,SUCCESS,0.18866509284203528,21.50782058399202,2764,1742,1022,230,34916,,,,,,,
798,2431452,107398568,AR,2019-04-23,2021-07-26 06:29:04,Sinopec Oilfield Service Corporation,WARNING,0.4011957545966639,64.19132073546622,9278,5767,3511,415,102572,,,,,,,
800,2431460,107403416,AR,2019-04-23,2021-07-26 06:37:43,Xin Yuan Enterprises Group Limited,SUCCESS,0.26963030532453675,26.423769921804602,3103,1908,1195,260,41520,,,,,,,
801,2431655,106062569,AR,2019-03-29,2021-07-26 06:46:28,"Huatai Securities Co., Ltd.",SUCCESS,1.5009373750524764,127.5796768794605,10974,7523,3451,319,143930,,,,,,,
809,2431996,107587642,AR,2019-04-25,2021-07-26 06:31:29,China Aluminum International Engineering Corporation Limited,SUCCESS,0.5578231865858242,73.6326606293288,6644,4605,2039,346,80116,,,,,,,
811,2431191,107398074,AR,2019-04-23,2021-07-26 06:49:37,Weiye Holdings Limited,SUCCESS,1.0694743948534808,25.667385476483542,4232,2583,1649,140,50425,,,,,,,
