,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
285,6618962,134359517,AR,2021-10-25,2021-11-18 18:51:25,Banco Mercedes-Benz do Brasil S.A.,SUCCESS,0.4011802739678277,2.407081643806966,1047,555,492,69,13882
286,6618878,77765363,AR,2021-10-25,2021-11-19 01:47:59,TAM S.A.,FAIL,1.3899078453870182,36.13760398006247,5716,3623,2093,61,94218
287,6619837,135211802,AR,2021-10-25,2021-11-19 05:43:45,Banco Máxima S.A.,WARNING,1.4912312398627807,2.9824624797255614,676,422,254,22,10013
288,6619956,134397189,AR,2021-10-25,2021-11-19 07:10:22,ABC Brasil Distribuidora de Títulos e Valores Mobiliários S.A.,WARNING,0.07715356361741413,1.157303454261212,225,142,83,15,3320
292,6693148,163925749,AR,2021-07-30,2021-11-26 04:40:38,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,0.8611322979125369,25.833968937376106,3392,2436,956,138,46926
293,6693342,164004254,AR,2020-12-31,2021-11-26 08:35:14,Banco BTG Pactual S.A.,SUCCESS,0.17031637453815215,2.8953783671485867,956,528,428,49,14757
294,6617855,153891545,AR,2021-10-25,2021-12-06 12:24:24,Companhia Siderúrgica Nacional,WARNING,0.04038568292189555,6.380937901659498,6957,3461,3496,391,115233
295,7119443,177965203,AR,2022-03-03,2022-03-04 12:32:33,Banco Modal S.A.,WARNING,0.19421335590716768,4.272693829957689,1363,768,595,135,31939
296,7128073,178162162,AR,2022-03-08,2022-03-10 09:22:49,GPS Participações e Empreendimentos S.A.,FAIL,0.06897309502641369,1.103569520422619,133,97,36,21,3045
297,7144314,177228394,AR,2022-03-24,2022-03-25 11:27:23,Klabin S.A.,WARNING,0.29703290718865566,13.069447916300849,1825,1230,595,49,38316
298,7146444,178858168,AR,2022-03-22,2022-03-25 10:13:40,Verde Agritech Plc,WARNING,0.06077372807082428,2.7348177631870927,1304,834,468,63,29430
299,8011003,181605449,AR,2022-05-02,2022-05-05 08:53:13,Lojas Americanas S.A.,WARNING,0.7753514205103964,17.05773125122872,2151,1594,557,76,37063
300,8555775,184157549,AR,2022-06-10,2022-06-14 10:25:02,Banco Nacional de Desenvolvimento Econômico e Social,WARNING,0.04314091971195142,6.08286967938515,3154,1664,1489,373,68954
301,8586369,185422974,AR,2022-06-30,2022-07-04 07:59:09,São Salvador Alimentos S/A,SUCCESS,0.5274944116412276,32.17715911011488,4196,2608,1587,235,68326
302,8632271,179543839,AR,2022-08-01,2022-08-02 09:20:10,Banco Bradesco S.A.,WARNING,0.04882250173082879,1.7576100623098365,1223,616,607,40,29377
303,8632289,177086451,AR,2022-08-01,2022-08-02 09:13:48,Banco BTG Pactual S.A.,WARNING,0.08820049577570066,3.087017352149523,733,408,325,97,17897
304,8632380,183225749,AR,2022-08-01,2022-08-02 09:47:23,Petróleo Brasileiro S.A. - Petrobras,WARNING,0.25324359148550746,11.649205208333344,732,475,257,405,261906
305,8835864,154349201,AR,2022-09-20,2022-09-20 20:22:46,Randon S.A. Implementos e Participações,SUCCESS,0.28594420119047986,4.861051420238158,707,515,192,60,12509
306,8836421,156371025,AR,2022-09-20,2022-09-20 21:03:19,Associação Espírita Beneficente Dr. Adolfo Bezerra de Menezes,SUCCESS,0.6832297390208357,10.248446085312535,636,526,110,30,9725
307,8835253,189253772,AR,2022-09-20,2022-09-23 00:50:08,Randon S.A. Implementos e Participações,SUCCESS,1.0005574462108517,11.00613190831937,835,653,182,38,13465
311,8835259,178239626,AR,2022-09-20,2022-09-23 00:52:43,Arezzo Indústria e Comércio S.A.,WARNING,0.3693023537377419,22.896745931739996,2986,2041,944,196,53454
315,8835020,181324784,AR,2022-09-20,2022-09-23 01:28:54,Natura &Co Holding S.A.,WARNING,0.5979715293448128,19.733060468378824,1807,1459,348,105,29367
319,8835192,181654383,AR,2022-09-20,2022-09-23 01:17:45,Grupo de Moda SOMA S.A.,WARNING,0.10934784931426615,12.575002671140608,2484,1690,794,227,46082
323,8835764,155376490,AR,2022-09-20,2022-09-23 22:55:27,Natura &Co Holding S.A.,FAIL,0.37937320448690076,6.449344476277313,770,642,128,45,12357
324,8835854,155868714,AR,2022-09-20,2022-09-23 23:00:07,Banco Capital S.A.,WARNING,-0.1306064594782313,-0.914245216347619,279,145,134,7,5377
325,8835874,154102686,AR,2022-09-20,2022-09-22 23:52:42,CCR S.A.,WARNING,0.10121048950190811,8.198049649654557,1602,1005,597,180,30529
326,8835887,153665025,AR,2022-09-20,2022-09-22 23:47:13,Cielo S.A.,SUCCESS,0.04332062114288798,4.765268325717678,1353,776,576,206,32116
327,8836081,152242986,AR,2022-09-20,2022-09-22 23:17:33,Banco Ribeirão Preto S.A.,SUCCESS,0.03992320505245278,0.6786944858916972,346,204,142,36,6707
328,8836097,189238350,AR,2022-09-20,2022-09-22 23:33:21,Energisa S.A.,WARNING,0.1677539744768873,17.614167320073168,2354,1563,791,268,43207
329,8836102,154518623,AR,2022-09-20,2022-09-22 23:13:44,Banco Sofisa S.A.,SUCCESS,0.1441717925992677,1.1533743407941417,553,316,237,28,12107
330,8836289,142360363,AR,2022-09-20,2022-09-22 23:00:28,Astrein Engenharia de Manutenção S/A,WARNING,0.0,0.0,0,0,0,7,1952
331,8836293,141651719,AR,2022-09-20,2022-09-22 22:59:27,Prima Empreendimentos Inovadores S.A.,WARNING,0.0,0.0,0,0,0,6,357
332,8836318,141790719,AR,2022-09-20,2022-09-22 22:52:44,Concrejato Serviços Técnicos de Engenharia S.A.,WARNING,0.03946666666666666,0.11839999999999998,6,2,4,12,3335
333,8836368,135041184,AR,2022-09-20,2022-09-22 22:52:08,Banco Société Générale Brasil S.A.,WARNING,-0.0009018845145229728,-0.027958419950212157,626,317,309,41,12664
334,8836596,136057961,AR,2022-09-20,2022-09-22 22:33:42,Coopecredi Guariba - Cooperativa de Crédito Sicoob Coopecredi,WARNING,0.2501931579714562,8.756760529000967,759,495,264,35,15955
335,8836607,134562408,AR,2022-09-20,2022-09-22 22:30:40,Banco Fidis S.A.,WARNING,0.04627080636240236,1.7582906417712898,509,301,208,38,10818
336,8836651,134260587,AR,2022-09-20,2022-09-22 22:27:49,Banco Volkswagen S.A.,SUCCESS,0.0659588997855544,1.3851368954966423,428,242,186,56,8536
337,8864300,193209846,AR,2022-09-29,2022-09-30 11:21:45,Bravo Mining Corp.,SUCCESS,0.368932035921777,9.592232933966201,1064,564,500,67,21068
338,8878106,2514499,AR,2022-10-06,2022-10-07 08:33:07,Banco Modal S.A.,WARNING,-0.00044317357752850104,-0.027476761806767065,462,241,221,69,11343
339,8878112,18798687,AR,2022-10-06,2022-10-07 08:34:55,Multiplus S.A.,WARNING,0.5400797792154567,13.501994480386418,1089,915,174,138,21083
340,8877740,193532894,AR,2022-10-06,2022-10-07 09:09:03,"Sofisa S.A. Crédito, Financiamento e Investimento",WARNING,0.0,0.0,0,0,0,1,44
341,8877653,193532802,AR,2022-10-06,2022-10-07 09:23:56,"Sofisa S.A. Crédito, Financiamento e Investimento",WARNING,0.0,0.0,0,0,0,1,44
342,8882806,22591702,AR,2022-10-11,2022-10-12 08:19:27,Vale S.A.,SUCCESS,0.034574322420479184,1.0718039950348548,695,397,297,95,18759
343,7108729,177418287,AR,2022-10-13,2022-10-14 06:20:56,Banco Rendimento S.A.,SUCCESS,0.4287689670411508,2.143844835205754,526,275,251,27,9231
344,7142723,178639682,AR,2022-03-18,2022-11-11 12:20:24,Enauta Participações S.A.,WARNING,0.044752664782339184,1.7901065912935674,742,432,310,66,20254
345,4459098,155214354,AR,2021-03-30,2021-10-04 00:00:01,Verde Agritech Plc,SUCCESS,0.09487526154019633,3.2257588923666756,1052,673,377,160,26747
346,7130106,178221494,AR,2023-01-18,2023-01-19 07:44:32,Via S.A.,WARNING,0.13923958985556914,5.2911044145116275,1221,745,475,88,28457
347,9242113,5435949,AR,2023-01-24,2023-01-26 06:19:37,Vale S.A.,SUCCESS,0.5628770581929514,34.33550054977004,4000,2739,1253,248,111629
